codigo;AplicaSN;CST00;CST02;CST10;CST15;CST20;CST30;CST40;CST41;CST50;CST51;CST53;CST60;CST61;CST70;CST90;Dispositivo;descricao;Observacao
;SIM;SIM;SIM;SIM;SIM;;;;;;;;SIM;SIM;;;;Sem preenchimento doˇcBenef;Contribuintes que utilizem CST 00, 02, 10, 15, 60 e 61 nao estao obrigados ao preenchimento do campoˇCbenef
SEM CBENEF;SIM;;;;;SIM;SIM;SIM;SIM;SIM;SIM;SIM;;;SIM;SIM;;Item sem cBenef e UF exige cBenef para o CST;"Informar a tag, preenchendo com ""SEM CBENEF"" em maiusculas; indicar fundamentacao legal nas informacoes complementares do documento fiscal"
SP099090;SIM;;;;;SIM;SIM;SIM;SIM;SIM;SIM;SIM;;;SIM;SIM;;Beneficio concedido por decisao judicial em sentenca individual ou coletiva;Indicar o processo judicial nas informacoes complementares do documento fiscal
SP099000;SIM;;;;;;;;;;;;;;;SIM;;Remessas de mercadorias entre estabelecimentos do mesmo titular;Observar as disposicoes do Anexo XI da Portaria SRE 41/2023
SP099999;SIM;;;;;;;;SIM;;;;;;;SIM;;Operacoes, sem beneficio fiscal, para as quais a legislacao determine a emissao da NF sem destaque de ICMS;Indicar fundamentacao legal nas informacoes complementares  do documento fiscal
SP010010;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 001 do Anexo I do RICMS;Isencao - ADJUDICAcaO EFETUADA PELO ESTADO;
SP010020;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 002 do Anexo I do RICMS;Isencao - AIDS - MEDICAMENTOS PARA TRATAMENTO;
SP010030;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 003 do Anexo I do RICMS;Isencao - AMOSTRA GRaTIS;
SP010040;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 004 do Anexo I do RICMS;Isencao - APAE - IMPORTAcaO DE MEDICAMENTOS;
SP010070;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 007 do Anexo I do RICMS;Isencao - ARRENDAMENTO MERCANTIL;
SP010080;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 008 do Anexo I do RICMS;Isencao - BAGAGEM DE VIAJANTE;
SP010090;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 009 do Anexo I do RICMS;Isencao - BANCO DE ALIMENTOS;
SP010140;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 014 do Anexo I do RICMS;Isencao - CIRURGIAS - EQUIPAMENTOS E INSUMOS;
SP010160;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 016 do Anexo I do RICMS;Isencao - DEFICIENTES - CADEIRA DE RODAS E PRoTESES;
SP010170;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 017 do Anexo I do RICMS;Isencao - DEFICIENTES - PRODUTOS DIVERSOS;
SP010180;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 018 do Anexo I do RICMS;Isencao - DEFICIENTES - PRODUTOS PARA INSTITUIcaO PuBLICA OU ENTIDADE ASSISTENCIAL;
SP010190;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 019 do Anexo I do RICMS;"Isencao - PESSOA COM DEFICIeNCIA OU AUTISTA -
VEiCULO AUTOMOTOR";
SP010220;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 022 do Anexo I do RICMS;"Isencao - ""DRAWBACK""";
SP010230;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 023 do Anexo I do RICMS;Isencao - EMBARCAcaO NACIONAL;
SP010260;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 026 do Anexo I do RICMS;Isencao - EMBRAPA - IMPORTAcaO DE PRODUTOS PARA PESQUISA;
SP010270;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 027 do Anexo I do RICMS;Isencao - EMBRAPA - OPERAcoES DIVERSAS;
SP010280;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 028 do Anexo I do RICMS;Isencao - OoCITO/EMBRIaO/SeMEN;
SP010290;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 029 do Anexo I do RICMS;Isencao - ENERGIA ELeTRICA;
SP010300;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 030 do Anexo I do RICMS;Isencao - ENERGIA SOLAR E EoLICA;
SP010310;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 031 do Anexo I do RICMS;Isencao - ENTIDADE ASSISTENCIAL OU DE EDUCAcaO - PRODUcaO PRoPRIA;
SP010330;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 033 do Anexo I do RICMS;Isencao - EXPOSIcoES/FEIRAS;
SP010340;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 034 do Anexo I do RICMS;Isencao - FUNDAcaO NACIONAL DE SAuDE - IMPORTAcaO - MEDICAMENTOS;
SP010360;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 036 do Anexo I do RICMS;Isencao - HORTIFRUTIGRANJEIROS;
SP010370;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 037 do Anexo I do RICMS;Isencao - IMPORTAcaO - HIPoTESES DIVERSAS;
SP010380;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 038 do Anexo I do RICMS;Isencao - IMPORTAcaO DE PRODUTOS HOSPITALARES;
SP010390;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 039 do Anexo I do RICMS;Isencao - IMPORTAcaO - RETORNO DE EXPORTAcaO;
SP010400;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 040 do Anexo I do RICMS;Isencao - IMPORTAcaO - SANEAMENTO BaSICO;
SP010410;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 041 do Anexo I do RICMS;Isencao - INSUMOS AGROPECUaRIOS;
SP010420;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 042 do Anexo I do RICMS;Isencao - ITAIPU BINACIONAL;
SP010440;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 044 do Anexo I do RICMS;Isencao - LOJA FRANCA;
SP010510;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 051 do Anexo I do RICMS;Isencao - oLEO LUBRIFICANTE USADO OU CONTAMINADO;
SP010520;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 052 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - DOAcoES PARA A SECRETARIA DA EDUCAcaO;
SP010530;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 053 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - DOAcoES PARA ViTIMAS DA SECA;
SP010540;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 054 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - DOAcoES PARA ViTIMAS DE CATaSTROFES;
SP010550;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 055 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - AQUISIcaO DE BENS, MERCADORIAS OU SERVIcOS;
SP010560;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 056 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - IMPORTAcaO;
SP010590;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 059 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - PRODUTO FARMACeUTICO;
SP010600;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 060 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - PRODUTOS E EQUIPAMENTOS MeDICOS;
SP010630;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 063 do Anexo I do RICMS;Isencao - oRGaOS PuBLICOS - VEiCULOS PARA AS SECRETARIAS DA FAZENDA E DE SEGURANcA;
SP010640;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 064 do Anexo I do RICMS;Isencao - PENITENCIaRIAS - MERCADORIAS PRODUZIDAS POR DETENTOS;
SP010680;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 068 do Anexo I do RICMS;Isencao - PRo-TAMAR;
SP010710;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 071 do Anexo I do RICMS;Isencao - REPRESENTAcoES DIPLOMaTICAS;
SP010730;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 073 do Anexo I do RICMS;Isencao - REPRODUTOR/MATRIZ;
SP010750;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 075 do Anexo I do RICMS;Isencao - SANGUE - IMPORTAcaO DE INSUMOS POR ENTIDADE DE HEMATOLOGIA OU HEMOTERAPIA;
SP010760;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 076 do Anexo I do RICMS;Isencao - SENAI, SENAC E SENAR;
SP010770;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 077 do Anexo I do RICMS;Isencao - TaXI - PRESTAcaO DE SERVIcO;
SP010780;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 078 do Anexo I do RICMS;Isencao - TRANSPORTE DE PASSAGEIROS;
SP010800;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 080 do Anexo I do RICMS;Isencao - TRENS METROPOLITANOS - IMPORTAcaO;
SP010820;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 082 do Anexo I do RICMS;Isencao - VASILHAME/RECIPIENTE/EMBALAGEM;
SP010830;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 083 do Anexo I do RICMS;Isencao - ViTIMAS DE CALAMIDADES - DOAcaO;
SP010840;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 084 do Anexo I do RICMS;Isencao - ZONA FRANCA DE MANAUS;
SP010880;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 088 do Anexo I do RICMS;Isencao - TaXI - VEiCULO;
SP010890;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 089 do Anexo I do RICMS;Isencao - AGROToXICO - EMBALAGEM - VAZIA;
SP010910;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 091 do Anexo I do RICMS;Isencao - FUNDO SOCIAL DE SOLIDARIEDADE- DOAcoES;
SP010920;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 092 do Anexo I do RICMS;Isencao - MEDICAMENTOS;
SP010940;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 094 do Anexo I do RICMS;Isencao - MEDICAMENTOS - oRGaOS PuBLICOS;
SP010970;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 097 do Anexo I do RICMS;Isencao - PROGRAMA DE SEGURANcA ALIMENTAR E NUTRICIONAL;
SP010980;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 098 do Anexo I do RICMS;Isencao - ALGODaO;
SP010990;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 099 do Anexo I do RICMS;Isencao - BORRACHA;
SP011010;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 101 do Anexo I do RICMS;Isencao - COELHO E AVE;
SP011020;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 102 do Anexo I do RICMS;Isencao - GADO;
SP011030;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 103 do Anexo I do RICMS;Isencao - LEITE;
SP011040;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 104 do Anexo I do RICMS;Isencao - HORTIFRUTIGRANJEIROS PARA INDUSTRIALIZAcaO;
SP011050;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 105 do Anexo I do RICMS;Isencao - PARTES E PEcAS PARA FABRICAcaO DE TRATOR, CAMINHaO E oNIBUS;
SP011070;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 107 do Anexo I do RICMS;Isencao - INDuSTRIA NAVAL/INFRA-ESTRUTURA PORTUaRIA;
SP011090;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 109 do Anexo I do RICMS;Isencao - AERONAVES - INSUMOS PARA A FABRICAcaO;
SP011120;SIM;;;;;;SIM;SIM;;;;;;;;;Artigo 112 do Anexo I do RICMS;Isencao - FUNDAcaO ZERBINI;
