CFOP;CFX;descricao
5.101;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.102;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.103;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.104;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.105;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.106;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.109;110;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS PARA ZFM
5.110;110;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS PARA ZFM
5.111;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.112;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.113;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.114;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.115;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.116;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.117;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.118;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.119;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.120;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.122;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.123;100;VENDA DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.124;120;INDUSTRIALIZAcaO EFETUADA PARA OUTRA EMPRESA
5.125;120;INDUSTRIALIZAcaO EFETUADA PARA OUTRA EMPRESA
5.125;130;EXPORTAcaO DE PRODUcaO PRoPRIA OU DE TERCEIROS
5.151;150;TRANSFEReNCIA PRoPRIAS
5.152;150;TRANSFEReNCIA PRoPRIAS
5.153;150;TRANSFEReNCIA PRoPRIAS
5.155;150;TRANSFEReNCIA PRoPRIAS
5.156;150;TRANSFEReNCIA PRoPRIAS
5.201;200;DEVOLUcaO DE COMPRAS
